Published Date,Video URL,Channel,Title,Description,
5/17/2019 8:25,https://www.youtube.com/watch?v=wlIBE7W4rvo,PowerShell.org,Dungeons & Dragons & Development: How Playing Games Makes You a Better IT Pro by Michael Lombardi,"Dungeons and Dragons, as well as numerous other tabletop roleplaying games (TTRPGs) has a lot to teach us about engineering. I'll cover the very basics of what tabletop roleplaying is, then expand on how it helps you practice critical engineering (both software and operations!) skills. I'll cover each of the skills below with an story from real-life play and explain how these lessons translate back into our work as IT Pros using examples from incident response, customer support, and feature implementation. ### Interpersonal - Empathy - Collaboration - Communication ### Personal - Lateral Thinking - Problem Solving - Investigation ### Leadership - Improvisation - Content Generation - Conflict Resolution This talk is light on technical demos and heavy on culture and workflow, helping folks move towards one of the pillars of DevOps in a meaningful way. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:28,https://www.youtube.com/watch?v=rdazN6htzSs,PowerShell.org,PowerShell in Azure Functions by Dongbo Wang & Joey Aiello,"Azure Functions is a serverless platform that enables you to write code without having to worry about managing infrastructure. Learn about how PowerShell is being integrated with Azure Functions to make it easier than ever to execute your scripts in the cloud. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:28,https://www.youtube.com/watch?v=-vvnhrFca_8,PowerShell.org,The Windows Subsystem for Linux by Tara Raj,"Linux on Windows?! When asked what developers wanted most on Windows 10, the answer was overwhelmingly for Bash support. The Windows Subsystem for Linux lets developers run Linux environments -- including most command-line tools, utilities, and applications -- directly on Windows, unmodified, without the overhead of a virtual machine. This lightweight tool makes it simple for developers to get started using Linux tools on Windows. In this session, we will cover how to use WSL with your favorite Linux tools & applications and ways to integrate WSL into your Windows development workflow. We'll also dive into the tech magic by explaining how this works under-the-hood. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:28,https://www.youtube.com/watch?v=jy1_6XJGlpk,PowerShell.org,Advanced JEA Configurations by James Petty,"Just Enough Administration is one of the most powerful tools that PowerShell has to offer. Giving you the ability to white list what users can and cannot do in their remote session. But are you using JEA to its full potential, or are you using the basic configurations for your end points? This demo driven presentation will go over some of the more advanced features that JEA has to offer including the creating of a “Break Glass” account, running as different users other than the Virtual admin and much more. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=uiSd2hEAtjw,PowerShell.org,Introduction to Serverless Functions by Kirk Munro,"I've spent a lot of time working with serverless for work, using PowerShell, C#, C# invoking PowerShell, and leveraging message queue support, and REST APIs. These are a great tool for the PowerShell community to leverage. I'd like to present this to people so that they can get started more quickly with less guesswork, and leverage my experience to fast forward their onramp to Azure Functions and AWS Lambda. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=MztA7n0wXtY,PowerShell.org,"Monitoring Out, Observability In by Ebru Cucen","Reading the instrumentation of the applications does not help to understand whole application lifecycle, but observability does. In this talk, Ebru will go over the tips and tricks to get the applications observable, from the initial idea to the working product. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=U1K4PRm1ISA,PowerShell.org,Lord of the Configurations by Friedrich Weinmann,"Are the developers besieging your script? Doeth the Linux Lords shun thy registry? Those windows hordes won't use anything they can't shoot out of the barrel of their SCCM? Don't panic! One configuration to rule them all, in code to bind the settings, no matter where they hide or whence they came. Covers the PSFramework configuration system, offering: - Uniform and simple access to configuration data - Easy discoverability with documentation being part of the setting - High flexibility in where the configuration comes from - Simple persistence of settings - Strong control over settings' use Implement a simple module cache, an entire options menu for your module with change events and input validation, configuration settings for your CI/CD procedures fed by Json configuration files. All through a single system, with the ability to control the code of other teams uniformly in the way best suited to your workflows. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=hC7T9d5hc04,PowerShell.org,Using PowerShell Core to automate application packaging...with Habitat by Matt Wrock,"Using PowerShell Core to automate application packaging, deployment and updates with Habitat Habitat is a relatively new automation platform written by Chef Software. It's aim is to automate the packaging and run time management of an application or groups of services within a distributed application as opposed to focusing on server-centric configuration management traditionally driven by Chef. Habitat is environment agnostic and can run on bare metal, VMs, either on premise or in the cloud or inside of Docker containers. One of Habitat's goals is that it should be easily accessible to developers and operators familiar with PowerShell. This session will focus on an ASP.Net web application talking to a SQL Server database. We will walk through a Habitat PowerShell plan that builds the ASP.Net application as well as how the Habitat Supervisor utilizes PowerShell hooks and DSC configuration to configure and run the application. Once we have working Habitat packages for our web application and SQL Server, we will use Habitat to deploy them to Docker containers. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=CRaGhmlrYDk,PowerShell.org,F5 Declarative Configuration by James Arruda,"In this session I will tell my story on trying to solve the problem of configuring the F5 Big-IP appliance. I am able to configure the F5 Big-IP using the AS3 (Application Services Module), which allows the use of declarative configurations to manage VIPs, Pools, Pool Members, iRules, Certs, and much more. I will also go over the process used to create and manage the configurations through a pipeline using Azure DevOps, Powershell, and Octopus(it might be entirely through Azure DevOps). In the end, an attendee will have a solid foundation on being able to explore this path for themselves. Topics I will cover: - What is the AS3(Application Serives Module)? - The basics of the AS3 declaration configuration and how to use the configuration to configure the appliance - How to push the configuration to the appliance - How to use a repository and pipeline to manage and push the configurations with Azure DevOps, Powershell, and Pester - Putting it all together and Q&A That is the basic overview for this session, more detail and work will be coming over the coming months. Thanks for taking the time to review my outline. Jim Arruda (Rockarruda) PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=6bPByJX5euc,PowerShell.org,"Testing, Testing, 1...2...3: Using Pester for Infrastructure Validation by Brandon Olin","This talk will show how to use [Pester](https://github.com/pester/Pester), the pervasive testing framework for PowerShell, for validating that your infrastructure is operating how you expect. Pester is **the** testing framework for PowerShell. Typically you'll use Pester to test your PowerShell scripts or modules but it can also be used for testing infrastructure. Operation Validation is a method of using Pester to test that your deployed infrastructure is operating the way you expect. In this use case, we're not testing code, but real-world infrastructure. This talk will show how Pester and related tools can be used as part of an automation and testing workflow. Tools showcased: - [Pester](https://github.com/pester/Pester) Pester is the ubiquitous test and mock framework for PowerShell. - [Operation Validation Framework](https://github.com/PowerShell/Operation-Validation-Framework) A set of tools for executing validation of the operation of a system. It provides a way to organize and execute Pester tests which are written to validate operation (rather than limited feature tests) - [PoshSpec](https://github.com/Ticketmaster/poshspec) An infrastructure testing DSL running in Pester. - [Watchmen](https://github.com/devblackops/watchmen) Infrastructure test runner and notification system using [Operation Validation Framework](https://github.com/PowerShell/Operation-Validation-Framework) (OVF) PowerShell modules and Pester. - [PSHealthZ](https://github.com/devblackops/pshealthz) Basic HTTP(S) listener that executes [Operation Validation Framework](https://github.com/PowerShell/Operation-Validation-Framework) (OVF) tests that are present on the given system and returns results using a simple REST API. This is an implementation of the [Health Endpoint Monitoring Pattern](https://msdn.microsoft.com/en-us/library/dn589789.aspx) using PowerShell. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=fnR8Jam7gxA,PowerShell.org,PowerShell + AutoRest + Swagger = Instant Modules by Adam Murray,"Have you ever wanted to abstract a RESTful Web Service with a PowerShell module? With AutoRest, you can generate easy-to-use PowerShell cmdlets directly from the REST Swagger document. Whether you’re creating your own RESTful Web Service or consuming an existing service, this capability can be beneficial. In this demo-packed session, I’ll walk attendees through the following steps: * how to use Swagger and the OpenAPI specification to document RESTful Web Services * how to set up AutoRest * how to use AutoRest to generate modules * how to avoid some of the “gotchas” * how to create SDKs for multiple languages In this 45-minute session, attendees will gain a solid understanding of the capabilities and use cases for AutoRest. They’ll see a module being generated from a Web Service and how they can then use that module to interact with the Web Service. Finally, they’ll be aware of some of the issues to watch out for and some of AutoRest’s limitations. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=2gZ6nUeMoNo,PowerShell.org,"Demystifying Terraform - ""Hardcore"" to Core Infrastructure-as-Code Tool by Chris Hunt","To many, Terraform is a magical black box. I'm going to give a 35-minute introduction to practical Terraform usage based on experience building Cloud Infrastructure for Ticketmaster and Stack Overflow. This session will be demo heavy and take the audience from thinking Terraform is only for ""hardcore"" engineers to believing it could be a core tool for managing infrastructure in their own environments. You don't have to support a Top 100 website or even use Public Cloud for Terraform to be a valuable tool in your inventory. I'll cover the language, the tool, the ecosystem, and as many anecdotes of personal failure that I can pack into 35 minutes. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=gRUYyQ_dU4c,PowerShell.org,Secure PowerShell web tools with System Frontier by Jay Adams,"In this session we will explore ways to turn existing PowerShell scripts into web based tools and then delegate them to non-administrators. The talk will consist of a live demo covering the following topics: - Building web based PowerShell tools without writing HTML - Populating custom fields with dynamic data - Capturing user input and passing it to your tool - Consuming your tool via its REST API - Best practices for tool design and RBAC PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=q8ac7dPD33Y,PowerShell.org,"Life after ""git push"" by Steven Murawski","CI/CD! Release Pipelines! Code Reviews! Unit Tests! We've been hammering on these concepts for quite some time, but we haven't talked about what happens after our changes make it through our pipeline. What does it look like to run services where I don't interact directly with the machines running it? How do I handle investigating issues? What happens when a change causes an issue? How do we deal with ""get in there and fix it NOW!""? We'll set the stage with a mature environment, deliver some change, and together figure out how to recover and move forward - while maintaining our discipline in how we change our running environment. Bring an open mind and your best troubleshooting experience! PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=ZI20Y10OKd0,PowerShell.org,Ansible for the Windows Admin by Jeremy Murrah,"Ansible is a very flexible, easy to use configuration management product. Written in Python, and traditionally for linux environments, it is being used by Windows admins more and more. Also, with PowerShell being cross platform, we can do some really interesting things that were probably never intended by the creators. Come find out all you need to know about managing Windows machines with Ansible, and find out how much you can do without learning Python. In this talk you will learn: - how to setup VSCode and the Windows Subsystem for Linux (WSL) to be the ultimate Ansible console - how to get started with basic ansible tasks and an overview of the architecture and terminology - how to connect to, and manage, Windows machines with Ansible, and the various authentication options available - how to leverage PowerShell DSC resources in Ansible to do almost anything - how to write custom Ansible modules and dynamic inventory scripts in PowerShell on linux PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=49-_Rxv65y0,PowerShell.org,Publishing and Managing Modules in an Internal Repository by Kevin Marquette,"Setting up and publishing to an internal repository is much easier than most people expect. In this talk, I plan on covering why it's a good idea to use an internal repository to distribute modules. I will show how to publish modules to both a file share and a local nuget instance. The demo will show the user how to manually publish the module with the idea that it should be part of a CI/CD pipeline. We will address the idea of re-hosting public modules from the PSGallery as a way to gate them into your organization. We will also show how to bootstrap other systems to use the internal repository. And then talk about the trials and tribulations of doing this in my organization. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/18/2019 7:45,https://www.youtube.com/watch?v=eGriK87nbHk,PowerShell.org,Completely Automate Managing Windows Software...Forever by Daniel Franciscus,"In this session I will show how I use strictly PowerShell, Chocolatey and good old fashioned task scheduler to automate the flow of internalizing Chocolatey community packages and upgrading all of my Chocolatey clients. I have managed to reduce the overhead of managing Windows software significantly and rarely have to intervene. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
